Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2002 12:00:00 AM,Eastern,F,60 to 69,8274,1339,16.18
01/01/2002 12:00:00 AM,Eastern,F,70 to 79,6318,1323,20.94
01/01/2002 12:00:00 AM,Eastern,F,80 +,5448,993,18.23
01/01/2002 12:00:00 AM,Eastern,M,20 to 29,8302,81,0.98
01/01/2002 12:00:00 AM,Eastern,M,30 to 39,10177,220,2.16
01/01/2002 12:00:00 AM,Eastern,M,40 to 49,13537,661,4.88
01/01/2002 12:00:00 AM,Eastern,M,50 to 59,12528,1476,11.78
01/01/2002 12:00:00 AM,Eastern,M,60 to 69,8112,1592,19.63
01/01/2002 12:00:00 AM,Eastern,M,70 to 79,5208,1351,25.94
01/01/2002 12:00:00 AM,Eastern,M,80 +,2738,647,23.63
01/01/2002 12:00:00 AM,Northern,F,20 to 29,8154,79,0.97
01/01/2002 12:00:00 AM,Northern,F,30 to 39,10312,215,2.08
01/01/2002 12:00:00 AM,Northern,F,40 to 49,12446,448,3.6
01/01/2002 12:00:00 AM,Northern,F,50 to 59,10377,821,7.91
01/01/2002 12:00:00 AM,Northern,F,60 to 69,6888,941,13.66
01/01/2002 12:00:00 AM,Northern,F,70 to 79,5522,961,17.4
01/01/2002 12:00:00 AM,Northern,F,80 +,4608,782,16.97
01/01/2002 12:00:00 AM,Northern,M,20 to 29,7968,75,0.94
01/01/2002 12:00:00 AM,Northern,M,30 to 39,10194,162,1.59
01/01/2002 12:00:00 AM,Northern,M,40 to 49,12069,530,4.39
01/01/2002 12:00:00 AM,Northern,M,50 to 59,10630,1075,10.11
01/01/2002 12:00:00 AM,Northern,M,60 to 69,6819,1157,16.97
01/01/2002 12:00:00 AM,Northern,M,70 to 79,4435,971,21.89
01/01/2002 12:00:00 AM,Northern,M,80 +,2382,490,20.57
01/01/2002 12:00:00 AM,Unknown,F,20 to 29,11948,77,0.64
